woolworths beef soup bones, 5.95, 1kg, 6.19, 1.04kg, 1
beef roast thyme and black pepper, 13.99, 1kg, 16.37, 1.17kg, 1
beef roast topside heart smart, 13.99, 1kg, 12.59, 0.9KG, 1
msa australian beef roast pepper, 14.99, 1kg, 12.59, 0.84KG, 1
msa australian beef blade roast foil tray, 11.99, 1kg, 15.59, 1.3kg, 1
msa australian beef rib roast, 21.99, 1kg, 24.19, 1.1kg, 1
beef corned silverside, 7.99, 1kg, 18.30, 2.29kg, 1
beef corned silverside heart smart, 10.99, 1kg, 11.87, 1.08kg, 1
roast beef silverside foil tray, 9.99, 1kg, 10.99, 1.1kg, 1
msa australian beef chuck slow cook, 11.99, 1kg, 6.00, 0.5KG, 1
msa australian gravy beef slow cook, 11.19, 1kg, 8.95, 0.8KG, 1
